"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","PPreR_f","PPreR_t","PPostR_1"
"P21f-S_1-S5","PND21","EtOH[50mM]","2017_07_12",20,"M",49,"rACSF","rACSF",NA,"Scott","xx","2017_07_12_0000.atf","2017_07_12_0004.abf","0.0","",0.991865245073515,NA,1.02672082086335
"P21f-S_2-S6","PND21","EtOH[50mM]","2017_07_12",20,"M",49,"rACSF","rACSF",NA,"Scott","xx","2017_07_12_0012.atf","2017_07_12_0016.abf","0.0","",0.903865313556342,NA,0.968100619758404
"P21f-S_3-S15","PND21","EtOH[50mM]","2018_01_24",20,"F",62,"rACSF","rACSF",NA,"Scott","xx","2018_01_24_0002.atf","2018_01_24_0006.abf","0.0","",1.0771007050855,NA,0.990380895175097
"P21f-S_4-S16","PND21","EtOH[50mM]","2018_01_24",20,"F",62,"rACSF","rACSF",NA,"Scott","xx","2018_01_24_0014.atf","2018_01_24_0019.abf","0.0","",1.06581990689356,NA,1.05068508343957
"P21f-S_5","PND21","EtOH[50mM]","2018_06_28",22,"F",57,"rACSF","rACSF",NA,"Scott","xx","2018_06_28_0003.atf","2018_06_28_0008.abf","0.0","",1.02265337827581,NA,1.08545967303646
"P21f-S_6","PND21","EtOH[50mM]","2018_06_28",22,"F",57,"rACSF","rACSF",NA,"Scott","xx","2018_06_28_0016.atf","2018_06_28_0022.abf","0.0","",0.980970359431469,NA,1.03144625834392
"P21f-S_7","PND21","EtOH[50mM]","2018_06_28",22,"F",57,"rACSF","rACSF",NA,"Luis","xx","2018_06_28_1030.atf","2018_06_28_1035.abf","0.0","",1.06881056714741,NA,1.10215427113186
"P21f-S_8","PND21","EtOH[50mM]","2018_10_17",20,"M",63.5,"rACSF","Sucrose","7:00","Scott","xx","2018_10_17_0008.atf","2018_10_17_0015.abf","0.0","",1.02372860630987,NA,0.975248665453643
"P21f-S_9","PND21","EtOH[50mM]","2018_10_17",20,"M",63.5,"rACSF","Sucrose","7:00","Scott","xx","2018_10_17_0021.atf","2018_10_17_0026.abf","0.0","",0.93982721083624,NA,0.984300190733232
"P21f-S_10","PND21","EtOH[50mM]","2018_10_18",21,"F",63,"rACSF","Sucrose","8:00","Scott","xx","2018_10_18_0030.atf","2018_10_18_0039.abf","0.0","",0.942177004335157,0.978019814424113,0.956086198207709
"P21f-S_11","PND21","EtOH[50mM]","2018_10_18",21,"F",63,"rACSF","Sucrose","8:00","Luis","xx","2018_10_18_1033.atf","2018_10_18_1041.abf","0.0","",1.10642787767056,NA,1.01280409908233
"P21f-S_12","PND21","EtOH[50mM]","2018_10_19",22,"M",73,"rACSF","Sucrose","11:45","Luis","xx","2018_10_19_1003.atf","2018_10_19_1008.abf","0.0","",1.00238731451257,NA,0.917569794640529
"P21f-S_13","PND21","EtOH[50mM]","2018_10_19",22,"M",73,"rACSF","Sucrose","11:45","Scott","xx","2018_10_19_0011.atf","2018_10_19_0017.abf","0.0","",0.878197658287111,NA,0.928740644984386
"P21f-S_14","PND21","EtOH[50mM]","2018_12_06",20,"M",45,"rACSF","rACSF","8:45","Scott","R2","2018_12_06_0015.atf","2018_12_06_0023.abf","0.025","",0.889533468110298,0.935112089765624,0.977452917592512
"P21f-S_15","PND21","EtOH[50mM]","2018_12_08",22,"F",63,"rACSF","rACSF","2:40","Scott","L3","2018_12_08_0000.atf","2018_12_08_0011.abf","0.035","",0.97365356174445,1.00573999918455,1.03374996136174
"P21f-S_16","PND21","EtOH[50mM]","2018_12_08",22,"F",63,"rACSF","rACSF","2:40","Luis","R3","2018_12_08_1000.atf","2018_12_08_1009.abf","0.035","",0.93146671623364,1.00086777764079,1.05782780316038
